Score,Name,1,2,3,4,5,6,7,8,9,10
21,Z,0,1,2,1,2,3,5,2,0,5
19,metaChloro,0,1,2,0,0,3,5,2,1,5
12,dotperson,0,0,2,1,2,0,0,2,0,5
20,Mystery ,0,1,2,1,0,3,5,2,1,5
12,onetwothree,0,1,0,1,2,3,0,0,0,5
14,afavb,0,1,2,1,0,3,0,2,0,5
10,Yomama,0,0,2,0,0,3,0,0,0,5
15,Dubai Labubu,0,0,2,1,2,3,0,2,0,5
17,David MacMillan,0,1,2,1,2,3,5,2,1,0
14,QuantumMechanic,0,0,2,1,0,3,0,2,1,5
16,Invicible Atom,0,0,2,1,2,3,5,2,1,0
18,agab,0,0,2,0,0,3,5,2,1,5
10,etyh,0,0,0,1,2,0,5,2,0,0
13,fafg,0,0,2,0,2,3,5,0,1,0
21,Ok,0,0,2,1,2,3,5,2,1,5
